TLD,Type,Requirements
GAL,Generic,None
GALLERY,Generic,None
GAME,Generic,None
GAMES,Generic,None
GARDEN,Generic,None
GAY,Generic,Special requirements
GED,Generic,None
GEN.IN,Country,None
GENT,Generic,None
GIFT,Generic,None
GIFTS,Generic,None
GIVES,Generic,None
GIVING,Generic,None
GLASS,Generic,None
GLOBAL,Generic,None
GMBH,Generic,None
GOLD,Generic,None
GOLF,Generic,None
GOT,Generic,None
GOV.AC,Country,None
GOV.IO,Country,None
GOV.SH,Country,None
GR.COM,Country,None
GRAPHICS,Generic,None
GRATIS,Generic,None
GREEN,Generic,None
GRIPE,Generic,None
GROCERY,Generic,None
GROUP,Generic,None
GS,Country,None
GUIDE,Generic,None
GUITARS,Generic,None
GURU,Generic,None
GY,Country,None
HAIR,Generic,None
HALAL,Generic,None
HAMBURG,Geographic,None
HAUS,Generic,None
HEALTH,Generic,Special requirements
HEALTHCARE,Generic,None
HELP,Generic,None
HELSINKI,Geographic,None
HERE,Generic,None
HIPHOP,Generic,None
HIV,Generic,None
HN,Country,None
HOCKEY,Generic,None
HOLDINGS,Generic,None
HOLIDAY,Generic,None
HOME,Generic,None
HOMES,Generic,None
HORSE,Generic,None
HOSPITAL,Generic,None
HOST,Generic,None
HOSTING,Generic,None
HOT,Generic,None
HOTEIS,Generic,None
HOTEL,Generic,None
HOTELS,Generic,None
HOUSE,Generic,None
HOW,Generic,None
ICU,Generic,None
IDN,Generic,None
IM,Country,None
IMMO,Generic,None
IMMOBILIEN,Generic,None
IN,Country,None
INC,Generic,None
IND.IN,Country,None
INDUSTRIES,Generic,None
INFO,Generic,None
ING,Generic,None
INK,Generic,None
INSTITUTE,Generic,None
INSURANCE,Generic,None
INSURE,Generic,None
INTERNATIONAL,Generic,None
INVESTMENTS,Generic,None
IO,Country,None
IRISH,Geographic,None
ISLAM,Generic,None
ISMAILI,Generic,None
IST,Generic,None
ISTANBUL,Geographic,None
IT,Country,Italian ID required
JETZT,Generic,None
JEWELRY,Generic,None
JOBS,Generic,None
JOBURG,Geographic,None
JOT,Generic,None
JOY,Generic,None
JP,Country,Japanese resident required
JPN.COM,Country,None
JUEGOS,Generic,None
KAUFEN,Generic,None
KI,Country,None
KID,Generic,None
KIDS,Generic,None
KIM,Generic,None
KITCHEN,Generic,None
KIWI,Generic,None
KOELN,Geographic,None
KOSHER,Generic,None
KYOTO,Geographic,None
LA,Country,None
LAND,Generic,None
LAT,Generic,None
LATINO,Generic,None
LAW,Professional,Accredited lawyer or law firm required
LAWYER,Professional,None
LC,Country,None
LEASE,Generic,None
LEGAL,Generic,None
LGBT,Generic,None
LI,Country,None
LIFE,Generic,None
LIFEINSURANCE,Generic,None
LIFESTYLE,Generic,None
LIGHTING,Generic,None
LIKE,Generic,None
LIMITED,Generic,None
LIMO,Generic,None
LINK,Generic,None
LIVE,Generic,None
LIVING,Generic,None
LLC,Generic,None
LLP,Generic,None
LOAN,Generic,None
LOANS,Generic,None
LOL,Generic,None
LONDON,Geographic,None
LOTTO,Generic,None
LOVE,Generic,None
LTD,Generic,None
LTDA,Generic,None
LUXE,Generic,None
LUXURY,Generic,None
MADRID,Geographic,None
MAIL,Generic,None
MAISON,Generic,None
MAKEUP,Generic,None
MANAGEMENT,Generic,None
MANIFEST,Generic,None
MAP,Generic,None
MARKET,Generic,None
MARKETING,Generic,None
MARKETS,Generic,None
MBA,Generic,None
ME,Country,None
ME.UK,Country,None
MED,Generic,None
MEDIA,Generic,None
MEDICAL,Generic,None
MEET,Generic,None
MELBOURNE,Geographic,None
MEME,Generic,None
MEMORIAL,Generic,None
MEN,Generic,None
MENU,Generic,None
MIAMI,Geographic,None
MIL.AC,Country,None
MIL.IO,Country,None
MIL.SH,Country,None
MLS,Generic,None
MN,Country,None
MOBI,Generic,None
MOBILE,Generic,None
MODA,Generic,None
MOE,Generic,None
MOI,Generic,None
MOM,Generic,None
MONEY,Generic,None
MONSTER,Generic,None
MORTGAGE,Generic,None
MOSCOW,Geographic,None
MOTO,Generic,None
MOTORCYCLES,Generic,None
MOV,Generic,None
MOVIE,Generic,None
MUSIC,Generic,Special requirements
MUTUALFUNDS,Generic,None
MX,Country,None
MY,Country,None
NAGOYA,Geographic,None
NAME,Generic,None
NAVY,Military,None
NET,Generic,None
NET.AC,Country,None
NET.CN,Country,None
NET.IN,Country,None
NET.IO,Country,None
NET.NZ,Country,Intended use must be specified
NET.SH,Country,None
NETWORK,Generic,None
NEW,Generic,Special requirements
NEWS,Generic,None
NEXUS,Generic,None
NF,Country,None
NGO,Generic,NGO community validation required
NINJA,Generic,None
NL,Country,Legal Form Registration number required
NO,Country,Special requirements
NOM.AC,Country,None
NOM.IO,Country,None
NOM.SH,Country,None
NOW,Generic,None
NRW,Geographic,None
NYC,Geographic,NYC resident required
NZ,Country,Intended use must be specified
OBSERVER,Generic,None
OKINAWA,Geographic,None
ONE,Generic,None
ONG,Generic,NGO community validation required
ONL,Generic,None
ONLINE,Generic,None
OOO,Generic,None
ORG,Generic,None
ORG.AC,Country,None
ORG.IN,Country,None
ORG.IO,Country,None
ORG.NZ,Country,Intended use must be specified
ORG.SH,Country,None
ORG.TW,Country,None
ORG.UK,Country,None
ORGANIC,Generic,None
OSAKA,Geographic,None
OTT,Generic,None
PAGE,Generic,None
PARIS,Geographic,None
PARS,Generic,None
PARTNERS,Generic,None
PARTS,Generic,None
PARTY,Generic,None
PAY,Generic,None
PET,Generic,None
PETS,Generic,None
PHD,Generic,None
PHONE,Generic,None
PHOTO,Generic,None
PHOTOGRAPHY,Generic,None
PHOTOS,Generic,None
PHYSIO,Professional,World Confederation for Physical Therapy criteria
PICS,Generic,None
PICTURES,Generic,None
PID,Generic,None
PING,Generic,None
PINK,Generic,None
PIZZA,Generic,None
PL,Country,None
PLACE,Generic,None
PLAY,Generic,None
PLUMBING,Generic,None
PLUS,Generic,None
PM,Country,EU resident required
POKER,Generic,None
POLITIE,Generic,None
PORN,Generic,None
PRESS,Generic,None
PRO,Professional,None
PRODUCTIONS,Generic,None
PROF,Professional,None
PROMO,Generic,None
PROPERTIES,Generic,None
PROPERTY,Generic,None
PROTECTION,Generic,DNSSEC required
PUB,Generic,None
PW,Country,None
QPON,Generic,None
QUEBEC,Geographic,Intended use must be specified
QUEST,Generic,None
RACING,Generic,None
RADIO,Generic,None
RADIO.AM,Country,None
RADIO.FM,Country,None
RE,Country,EU resident required
READ,Generic,None
REALESTATE,Generic,None
